gabor
d:\CV\Project_2\olympus\olympus\pic.0001.jpg,0.053772,0.0557556,0.0484924,0.172177,0.048175,0.184702,0.0471649,0.0536621,0.0477814,0.046698,0.0463135,0.0466797,0.0467896,0.0528503,0.0463013,0.00268555,
d:\CV\Project_2\olympus\olympus\pic.0002.jpg,0.0494812,0.0564026,0.0493958,0.175372,0.0558929,0.184927,0.0460114,0.0455048,0.0443329,0.0581787,0.0444183,0.0454224,0.0454285,0.0480225,0.0485016,0.00270691,
d:\CV\Project_2\olympus\olympus\pic.0003.jpg,0.0441284,0.05242,0.0529175,0.167947,0.0490997,0.168503,0.0543182,0.0554718,0.0566772,0.0553406,0.0478424,0.0474426,0.0467834,0.0459808,0.0525482,0.00257874,
d:\CV\Project_2\olympus\olympus\pic.0004.jpg,0.0469086,0.0463165,0.0469574,0.178397,0.0532043,0.17739,0.0469788,0.0472656,0.0471954,0.0469391,0.0472473,0.0564178,0.0553772,0.0539886,0.0466187,0.00279846,
d:\CV\Project_2\olympus\olympus\pic.0005.jpg,0.0466522,0.0535522,0.048056,0.173178,0.0488068,0.18046,0.0486328,0.0477997,0.0473877,0.0464172,0.0519653,0.0454681,0.0451324,0.0517456,0.0620453,0.00270081,
d:\CV\Project_2\olympus\olympus\pic.0006.jpg,0.0483459,0.0472199,0.046756,0.178543,0.0487762,0.175598,0.0534882,0.0476715,0.0475861,0.053183,0.0461517,0.0550324,0.0473114,0.0464996,0.0550446,0.00279236,
d:\CV\Project_2\olympus\olympus\pic.0007.jpg,0.0495422,0.0554199,0.0475861,0.179645,0.0610779,0.17005,0.0459076,0.0467194,0.0463196,0.0538574,0.0469574,0.04617,0.0477264,0.0536591,0.0466217,0.00274048,
d:\CV\Project_2\olympus\olympus\pic.0008.jpg,0.0532013,0.047406,0.0555817,0.172446,0.048407,0.17121,0.055368,0.0476349,0.060141,0.0471436,0.0524994,0.0472321,0.0454437,0.0467468,0.0469513,0.00258789,
d:\CV\Project_2\olympus\olympus\pic.0009.jpg,0.0472687,0.0533997,0.0458527,0.171857,0.0462311,0.171787,0.0539459,0.0555908,0.047879,0.0549988,0.0552155,0.0526886,0.046582,0.0465027,0.0473602,0.00284119,
d:\CV\Project_2\olympus\olympus\pic.0010.jpg,0.0563568,0.0565063,0.0606262,0.173373,0.0475403,0.175726,0.0500946,0.0462402,0.046225,0.0530914,0.0460602,0.0457947,0.0462555,0.0462952,0.0469421,0.0028717,
d:\CV\Project_2\olympus\olympus\pic.0011.jpg,0.0484802,0.0536133,0.046637,0.172449,0.051712,0.165683,0.0535553,0.0474213,0.0545593,0.0545593,0.0470337,0.0534119,0.0473206,0.0470917,0.0536438,0.00282898,
d:\CV\Project_2\olympus\olympus\pic.0012.jpg,0.0503601,0.0448456,0.0469482,0.179053,0.0638245,0.192517,0.0484497,0.0422211,0.0490204,0.0472839,0.0414307,0.0436951,0.0521698,0.0511383,0.0446045,0.00243835,
d:\CV\Project_2\olympus\olympus\pic.0013.jpg,0.0466827,0.0543549,0.0592224,0.171979,0.0536072,0.170761,0.0471832,0.0479492,0.0486908,0.054306,0.0551239,0.0470184,0.0468292,0.0468109,0.0467987,0.0026825,
d:\CV\Project_2\olympus\olympus\pic.0014.jpg,0.0465912,0.0465912,0.0538116,0.180872,0.0481232,0.172525,0.0542786,0.0534668,0.0472656,0.0461212,0.0528076,0.0543243,0.0473999,0.0465637,0.0466034,0.00265503,
d:\CV\Project_2\olympus\olympus\pic.0015.jpg,0.0559662,0.0483673,0.0480896,0.17215,0.0465332,0.170053,0.0525116,0.0520935,0.0518677,0.0624725,0.046991,0.0470642,0.0474792,0.0483063,0.0473206,0.00273437,
d:\CV\Project_2\olympus\olympus\pic.0016.jpg,0.0464813,0.0521637,0.0458099,0.179663,0.0461548,0.176929,0.0464142,0.0463684,0.0467011,0.0546844,0.0488312,0.0477417,0.0547882,0.0492126,0.0554382,0.00261841,
d:\CV\Project_2\olympus\olympus\pic.0017.jpg,0.0472534,0.0541016,0.0465424,0.172284,0.0480469,0.175424,0.0528839,0.0471069,0.0597809,0.0477753,0.0475983,0.0480896,0.0472168,0.047934,0.0550598,0.00290222,
d:\CV\Project_2\olympus\olympus\pic.0018.jpg,0.0544006,0.0476624,0.0481293,0.171963,0.0471436,0.170929,0.0466156,0.0463715,0.0528137,0.0457764,0.0539886,0.0473846,0.0539337,0.0561493,0.0538818,0.00285645,
d:\CV\Project_2\olympus\olympus\pic.0019.jpg,0.0490326,0.0487732,0.0480804,0.185522,0.0553528,0.172287,0.0475403,0.0552032,0.0488922,0.0482697,0.0445435,0.0444977,0.0456055,0.050946,0.0527893,0.00266418,
d:\CV\Project_2\olympus\olympus\pic.0020.jpg,0.0481323,0.047702,0.0474854,0.186676,0.0478149,0.171353,0.0468597,0.0466278,0.0468445,0.0466248,0.0461029,0.0538116,0.0618225,0.0474152,0.0520264,0.00270081,
d:\CV\Project_2\olympus\olympus\pic.0021.jpg,0.0442993,0.0447418,0.0515289,0.170786,0.0464539,0.180533,0.0499695,0.0559937,0.0570129,0.0500885,0.0488037,0.0559784,0.0527771,0.0447418,0.0437653,0.00252686,
